#Title: Chemical Abundances for 25 JWST Exoplanet Host Stars with KeckSpec
#Polanski, Crossfield, Howard, Isaacson, Rice 2022
#Details for columns and uncertainties 
#Name: SIMBAD resolvable name
#Teff: Effective temperature, K, +/- 77
#logg: Log surface gravity, [cm/s^-2], +/- 0.09
#vsini: Projected rotational velocity, km/s^-1, +/- 0.1
#[C/H]: Abundance of C relative to H, dex, +/-0.05
#[N/H]: Abundance of N relative to H, dex, +/-0.08
#[O/H]: Abundance of O relative to H, dex, +/-0.07
#[Na/H]: Abundance of Na relative to H, dex, +/-0.05
#[Mg/H]: Abundance of Mg relative to H, dex, +/-0.04
#[Al/H]: Abundance of Al relative to H, dex, +/-0.04
#[Si/H]: Abundance of Si relative to H, dex, +/-0.03
#[Ca/H]: Abundance of Ca relative to H, dex, +/-0.03
#[Ti/H]: Abundance of Ti relative to H, dex, +/-0.04
#[V/H]: Abundance of V relative to H, dex, +/-0.06
#[Cr/H]: Abundance of Cr relative to H, dex, +/-0.04
#[Mn/H]: Abundance of Mn relative to H, dex, +/-0.05
#[Fe/H]: Abundance of Fe relative to H, dex, +/-0.03
#[Ni/H]: Abundance of Ni relative to H, dex, +/-0.04
#[Y/H]: Abundance of Y relative to H, dex, +/-0.08
#C/O: Carbon to oxygen abundance ratio
#C/O err: C/O 1 sigma uncertainty 
#Mg/Si: Magnesium to silicon abundance ratio
#Mg/Si err: Mg/Si 1 sigma uncertainty
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Name,Teff,logg,vsini,[C/H],[N/H],[O/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[Ti/H],[V/H],[Cr/H],[Mn/H],[Fe/H],[Ni/H],[Y/H],C/O,Mg/Si,SNR,C/O_err,Mg/Si_err
HD 149026,5980,4.1,5.4,0.17,0.46,0.23,0.4,0.18,0.21,0.25,0.32,0.23,0.11,0.26,0.25,0.27,0.27,0.42,0.48 ,0.89 ,304,0.1,0.1
HD 15337,5131,4.43,0.9,0.06,0.08,0.06,0.15,0.13,0.15,0.12,0.1,0.11,0.11,0.11,0.14,0.12,0.13,-0.05,0.56 ,1.06 ,220,0.11,0.12
HD 182488,5365,4.42,2.0,0.1,0.21,0.16,0.15,0.12,0.15,0.09,0.13,0.12,0.13,0.13,0.2,0.14,0.14,0.07,0.48 ,1.11 ,265,0.1,0.13
HD 189733,5005,4.49,1.8,-0.12,-0.19,-0.21,-0.03,-0.04,-0.02,0.02,0.04,-0.01,-0.01,0.02,0.01,0.01,-0.03,-0.13,0.67 ,0.92 ,328,0.14,0.11
HD 19467,5733,4.38,1.8,-0.03,-0.03,0.16,-0.15,-0.06,0.01,-0.05,-0.1,-0.02,-0.05,-0.16,-0.26,-0.14,-0.12,-0.09,0.36 ,1.02 ,302,0.07,0.12
HD 209458,6042,4.3,3.0,0.0,-0.01,0.13,-0.03,0.03,-0.03,0.03,0.08,0.06,0.04,0.05,-0.04,0.05,0.01,0.06,0.42 ,1.05 ,258,0.08,0.12
HD 75732,5258,4.42,0.7,0.25,0.54,0.3,0.5,0.29,0.36,0.28,0.27,0.27,0.28,0.29,0.42,0.3,0.37,0.18,0.5 ,1.08 ,320,0.1,0.13
HD 80606,5561,4.34,2.9,0.28,0.42,0.38,0.4,0.31,0.37,0.31,0.3,0.3,0.3,0.29,0.4,0.3,0.36,0.23,0.44 ,1.03 ,263,0.09,0.12
HD 22046,5060,4.54,1.9,-0.08,-0.24,-0.06,-0.14,-0.1,-0.1,-0.03,0.0,-0.04,-0.07,-0.01,-0.08,-0.03,-0.12,0.04,0.52 ,0.89 ,278,0.11,0.11
Kepler-51,5665,4.67,5.5,-0.07,-0.17,-0.1,-0.12,-0.11,-0.15,-0.05,0.03,-0.02,-0.05,-0.01,-0.08,-0.02,-0.14,0.06,0.59 ,0.92 ,27,0.12,0.11
